type,id,lat,lon,tags_amenity,tags_cuisine,tags_name,tags_source,tags_addr:city,tags_addr:street,tags_internet_access,tags_opening_hours,tags_phone,tags_smoking,tags_wheelchair,tags_name:en,tags_operator,tags_addr:postcode,tags_addr:housenumber,tags_name:ne,nodes,tags_building,tags_atm,tags_sorey,tags_addr:housename,tags_email,tags_service:type,tags_contact:phone,tags_contact:email,tags_office,tags_social_facility,tags_nrb_class,tags_website,tags_roof:material,tags_roof:shape,tags_healthcare,tags_addr:hamlet,tags_operator:type,tags_fixme,tags_addr:municipality,tags_addr:province,tags_note,tags_building:levels,tags_CONS_TYPE,tags_building:use,tags_green_roof,tags_building_count,tags_isced:level,tags_personnel:count,tags_student:count,tags_oid,tags_barrier,tags_government,tags_school,tags_boundary,tags_operator:en,tags_operator:ne,tags_operator:wikidata,tags_landuse,tags_layer,tags_emergency,tags_wikidata,tags_building:part,tags_dispensing,tags_shop,tags_addr:house,tags_capacity,tags_access,tags_parking,tags_covered,tags_fee,tags_supervised,tags_surface,tags_description,tags_delivery,tags_drive_through
node,10220038303,27.6322601,85.5138435,cafe,,Tiktok Lama Hotel And Fast Food,,,Pulbazar,,,,,,,,,,Tiktok लामा होटल एण्ड फास्ट फुड,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10220038304,27.6319515,85.5185994,cafe,,Famous Street Food And Tapari Mo:Mo,,,Tindobato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10220038305,27.6303662,85.5210192,cafe,,Vip Thakali Restaurant,,,Buspark,,,011691126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10220038306,27.6316324,85.5186344,cafe,,Gautam Mithai Vandar,,,Tindobato,,,011663785,,,,,,,गाैतम मिठाई भण्डार,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10220038307,27.6320738,85.5157443,cafe,,Highway Newari Khaja Ghar,,,Pulbazar,,,9841658738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10220038308,27.6318317,85.5151459,cafe,,Underground Vojanalaya And Khaja Ghar,,,Pulbazar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10220038309,27.6317357,85.5157151,cafe,,Krishna Newari Khaja Ghar,,,Pulbazar,,,9840207820,,,,,,,कृष्ण नेवारी खाजा घर,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10220038310,27.6317173,85.5157537,cafe,,Ugrachandi Vojanalaya And Khaja Ghar,,,Pulbazar,,,,,,,,,,उग्रचण्डी भोजनालय एण्ड खाजा घर,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10220038311,27.6305854,85.5181027,cafe,,Gautam Fast Food And Cafe,,,Sinagal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10220038312,27.630753,85.5215062,cafe,,Unique Food Cafe,,,Chadani chowk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10220038313,27.6324682,85.5148553,cafe,,Daju Bhai Khaja Ghar,,,Pulbazar,,,,,,,,,,दाजू भाई खाजा एण्ड खाना घर,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10220038314,27.6414932,85.514773,cafe,,Home Town Cafe,,,Karuna Marga,,,9823616923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10220038315,27.6419356,85.4772354,cafe,,Burger House,,,Sangha,,Mo-Su 10:00-22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10220038316,27.6277848,85.532528,cafe,,The Airport Sekuwa Corner,,,"Budol,Banepa",,Mo-Su 10:00-21:00,9841103010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10220062517,27.6418086,85.4776833,cafe,,Jay Bhojanalaya Tatha Khaja Ghar,,,Sanga,,Mo-Su 10:00-20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10220062518,27.6572634,85.4998521,cafe,,Samirani Khaja Ghar,,,Nala,,Mo-Su 10:00-19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10220062519,27.6619861,85.4936701,cafe,,Nirvana Cafe,,,Nala,,Mo-Su 10:00-19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10220062521,27.6573391,85.5021303,cafe,,Ugrachandi Sekuwa Corner And Cafe Shop,,,Nala,,Mo-Su 09:00-19:00,9818898143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10220062522,27.6282508,85.5310831,cafe,,Hexa Restaurant,,,Budol,,Mo-Su 08:00-20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10220062523,27.6647606,85.5074737,cafe,,Nala Village Resort,,,Dandamukh,,Mo-Su 08:00-20:00,612491861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10220062524,27.6417396,85.4771078,cafe,,Sanga Height Restaurant,,,,,Mo-Su 08:00-20:00,9841430356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10220062525,27.6278272,85.5332573,cafe,,Newari Chulo,,,Budol,,Mo-Su 08:00-19:00,9818975462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10220062526,27.6277596,85.5334194,cafe,,Dapchali Bhojanalaya And Khaja Ghar,,,Budol,,Mo-Su 07:00-22:00,9813791845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10220062527,27.6280787,85.5322971,cafe,,Maila Khaja Ghar,,,Budol,,Mo-Su 07:00-20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10220062528,27.6279898,85.5324976,cafe,,Staff Bhojnalaya,,,"Budol,banepa",,Mo-Su 07:00-20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10220062529,27.6280801,85.5321566,cafe,,Budol Khaja Ghar,,,"Budol,banepa",,Mo-Su 07:00-20:00,9841496727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10220062530,27.6246395,85.5411141,cafe,,Kafle Sweet,,,28 kilo,,Mo-Su 07:00-20:00,9840711661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10220062531,27.6277561,85.5339463,cafe,,Chandeshowri Rampure Bhojanalaya,,,Budol,,Mo-Su 07:00-19:00,9888006300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2282684337,27.6215328,85.5412305,fast_food,,Junction cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
